dataset,scale_label,query_name,run_phase,query_scale_phase_id,baseline,availability_status,selected_g_classes,selected_config_count,global_best_config_id,global_best_g_class,global_best_p95,baseline_best_config_id,baseline_best_g_class,baseline_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,random_repetitions,random_k_size,random_top1_std,random_top3_std,random_near_best_std,random_regret_std,note
ldbc_snb,sf0.1,IS6_ForumOfMessage,cold,ldbc_snb::sf0.1::IS6_ForumOfMessage::cold,depth_only,available,G9,1,ldbc_snb_is6_g7_0aecbe5c,G7,44.80885500306604,ldbc_snb_is6_g9_c7584187,G9,46.32240084538344,0.0,1.0,1.0,0.03377782900754403,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf3,IC5_NewGroups,hot,ldbc_snb::sf3::IC5_NewGroups::hot,always_embed,available,G4|G9,2,ldbc_snb_ic5_g7_a2002d4c,G7,193.8014049548656,ldbc_snb_ic5_g9_7a7a63d2,G9,200.3459726140136,0.0,1.0,1.0,0.03376945415164637,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf10,Q6_TechUSListedSecuritiesWithHighLastTradedValue,cold,fiben::sf10::Q6_TechUSListedSecuritiesWithHighLastTradedValue::cold,schema_lens,available,G1|G3|G5|G7|G9,5,q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline,CONTROL,99.1306354815606,q6_tech_uslisted_securities_with_high_last_traded_value__g1__embed_descriptors,G1,102.46713949600232,0.0,1.0,1.0,0.033657647792062644,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
ldbc_snb,sf3,IS4_ContentOfMessage,cold,ldbc_snb::sf3::IS4_ContentOfMessage::cold,always_reference,available,G0,1,ldbc_snb_is4_g1_c923c633,G1,11.061858022003417,ldbc_snb_is4_g0_103e0c60,G0,11.433942266739887,0.0,1.0,1.0,0.033636685988587836,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf0.25,QG10_AdvancedSearchWatchItems,cold,imdb::sf0.25::QG10_AdvancedSearchWatchItems::cold,always_reference,available,G0|G3|G6|G7,4,series_g9,G9,117.12669585031108,watchitem_g3,G3,120.97194580237556,0.0,1.0,1.0,0.03282983374668692,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf0.25,QG10_AdvancedSearchWatchItems,cold,imdb::sf0.25::QG10_AdvancedSearchWatchItems::cold,relationship_type_only,available,G0|G2|G3,3,series_g9,G9,117.12669585031108,watchitem_g3,G3,120.97194580237556,0.0,1.0,1.0,0.03282983374668692,,,,,,,Coverage status: full; performance computed over selected measured classes.
ldbc_snb,sf0.1,IS4_ContentOfMessage,cold,ldbc_snb::sf0.1::IS4_ContentOfMessage::cold,random_k,available,random_sample_k=1,1,ldbc_snb_is4_g1_c923c633,G1,16.84460244505314,,,17.392462409019906,0.512,1.0,0.512,0.03252436296753681,1000,1,0.49985597925802594,0.0,0.49985597925802594,0.03331454364934751,Random-k is averaged over repeated samples from measured configuration classes.
imdb,sf0.25,QG2_WatchItemByTitle,cold,imdb::sf0.25::QG2_WatchItemByTitle::cold,always_reference,available,G0|G3|G6|G7,4,watchitem_g2,G2,0.3874151982017793,watchitem_g0,G0,0.3999639513494912,0.0,1.0,1.0,0.03239096763874528,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf0.1,IC7_RecentLikers,cold,ldbc_snb::sf0.1::IC7_RecentLikers::cold,always_embed,available,G4,1,ldbc_snb_ic7_g0_39cfc8f6,G0,2432.11135449164,ldbc_snb_ic7_g4_5de4a081,G4,2507.9631146494603,0.0,1.0,1.0,0.031187618123543776,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf3,IC7_RecentLikers,cold,ldbc_snb::sf3::IC7_RecentLikers::cold,relationship_type_only,available,G0|G3,2,ldbc_snb_ic7_g6_084f8a43,G6,12214.90409550604,ldbc_snb_ic7_g3_d6d26f02,G3,12588.827791948255,0.0,1.0,1.0,0.0306120861464466,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf10,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,fiben::sf10::Q7_PersonsWhoBoughtMoreIBMThanSold::cold,always_embed,available,G2|G4|G5|G9,4,q7_persons_who_bought_more_ibmthan_sold__g3__association_references,G3,0.970184727339074,q7_persons_who_bought_more_ibmthan_sold__g5__shared_targets_as_references,G5,0.9997606684919444,0.0,1.0,1.0,0.030484855429530805,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,always_reference,available,CONTROL|G3|G7,3,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,0.4349461290985345,q3_securities_held_in_each_financial_service_account__g3__association_references,G3,0.4479982599150389,0.0,1.0,1.0,0.03000861473018773,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf1,IS2_RecentMessagesOfPerson,cold,ldbc_snb::sf1::IS2_RecentMessagesOfPerson::cold,always_reference,available,G0|G3|G6|G7,4,ldbc_snb_is2_g4_9622e695,G4,895.4777782782895,ldbc_snb_is2_g0_1d094f1c,G0,922.2268094017618,0.0,1.0,1.0,0.029871239434776247,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf1,IS2_RecentMessagesOfPerson,cold,ldbc_snb::sf1::IS2_RecentMessagesOfPerson::cold,relationship_type_only,available,G0|G3,2,ldbc_snb_is2_g4_9622e695,G4,895.4777782782895,ldbc_snb_is2_g0_1d094f1c,G0,922.2268094017618,0.0,1.0,1.0,0.029871239434776247,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf1,QG3_RecommendationByGenreAndSubtype,hot,imdb::sf1::QG3_RecommendationByGenreAndSubtype::hot,relationship_type_only,available,G0|G2|G3,3,series_g8,G8,10.41732880621566,watchitem_g0,G0,10.72731149906758,0.0,0.0,1.0,0.029756447033424116,,,,,,,Coverage status: full; performance computed over selected measured classes.
ldbc_snb,sf0.1,IS2_RecentMessagesOfPerson,cold,ldbc_snb::sf0.1::IS2_RecentMessagesOfPerson::cold,always_embed,available,G4|G9,2,ldbc_snb_is2_g6_7253ed90,G6,47.005085005366624,ldbc_snb_is2_g4_9622e695,G4,48.39809439945376,0.0,1.0,1.0,0.029635291456830592,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf3,IC5_NewGroups,cold,ldbc_snb::sf3::IC5_NewGroups::cold,relationship_type_only,available,G0|G3,2,ldbc_snb_ic5_g7_a2002d4c,G7,10733.839964350023,ldbc_snb_ic5_g3_45734260,G3,11042.472686433735,0.0,0.0,1.0,0.02875324423587127,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf1,QG3_RecommendationByGenreAndSubtype,hot,imdb::sf1::QG3_RecommendationByGenreAndSubtype::hot,always_reference,available,G0|G3|G6|G7,4,series_g8,G8,10.41732880621566,series_g7,G7,10.715543799597068,0.0,1.0,1.0,0.028626819689465163,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf0.5,QG1_WatchItemById,cold,imdb::sf0.5::QG1_WatchItemById::cold,always_reference,available,G0|G3|G6|G7,4,watchitem_g4,G4,0.46593090009992,watchitem_g6,G6,0.4792067978996782,0.0,1.0,1.0,0.028493276142258727,,,,,,,Coverage status: partial; performance computed over selected measured classes.
imdb,sf1,QG5_AllPersonsForEpisodesOfSeries,cold,imdb::sf1::QG5_AllPersonsForEpisodesOfSeries::cold,depth_only,available,G3|G4|G5|G6|G9,5,series_g8,G8,482.7243484993232,series_g9,G9,496.404158048972,0.0,1.0,1.0,0.028338760189280193,,,,,,,Coverage status: full; performance computed over selected measured classes.
fiben,sf1,Q5_ReportsAndMetricDataOfCompany,hot,fiben::sf1::Q5_ReportsAndMetricDataOfCompany::hot,random_k,available,random_sample_k=3,3,q5_reports_and_metric_data_of_company__g2__embed_containment_children,G2,37.62679109349847,,,38.63302941960283,0.758,1.0,0.758,0.026742602726976202,1000,3,0.4282942913464993,0.0,0.4282942913464993,0.04732935571781501,Random-k is averaged over repeated samples from measured configuration classes.
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,fiben::sf1::Q9_PersonsWhoBoughtAndSoldSameStock::hot,always_embed,available,G2|G4|G5|G9,4,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,0.8514764602296054,q9_persons_who_bought_and_sold_same_stock__g9__tradeoff_benchmark_candidate,G9,0.8737611933611332,0.0,1.0,1.0,0.026171872238862113,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q9_PersonsWhoBoughtAndSoldSameStock,hot,fiben::sf1::Q9_PersonsWhoBoughtAndSoldSameStock::hot,depth_only,available,G3|G4|G5|G9,4,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,0.8514764602296054,q9_persons_who_bought_and_sold_same_stock__g9__tradeoff_benchmark_candidate,G9,0.8737611933611332,0.0,1.0,1.0,0.026171872238862113,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf30,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf30::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,relationship_type_only,available,G4|G5,2,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,1.7227548349183053,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,1.7673512629698962,0.0,0.0,1.0,0.02588669446613727,,,,,,,Coverage status: partial; performance computed over selected measured classes.
