dataset,scale_label,query_name,query_scale_phase_id,config_id,g_class,design_family,benchmark_group,run_phase,n_runs,n_success_runs,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,avg_documents_returned,avg_documents_written,source_experiment_id,source_file
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,G2,embedded_containment,primary,cold,10,10,0.5967081058770418,0.543954549357295,0.9560278791468584,1.154797546332702,0.4303680034354329,1.2044899631291628,0.2108558212860021,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,q3_securities_held_in_each_financial_service_account__g3__association_references,G3,association_references,primary,cold,10,10,0.4183856071904301,0.4006160306744277,0.5277458112686872,0.5428139586001635,0.3452529199421406,0.5465809954330325,0.0578544438681005,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,deep_nested_document,primary,cold,10,10,0.4290295881219208,0.4214069922454655,0.5302824371028692,0.5325932858977467,0.3531440161168575,0.5331709980964661,0.062281384432648,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,shared_target_reference_strategy,primary,cold,10,10,0.4341620951890945,0.4191069747321307,0.5864200997166334,0.6148928380571306,0.3438469721004367,0.6220110226422548,0.0826784604110134,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,q3_securities_held_in_each_financial_service_account__g7__update_aware_references,G7,update_aware_reference_design,secondary_affected,cold,10,10,0.4165196907706558,0.3889729850925505,0.506870960816741,0.5078645516186953,0.3650940489023924,0.5081129493191838,0.0548617619901835,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,benchmark_tradeoff_alternative,secondary_affected,cold,10,10,0.3960650064982474,0.3881555167026818,0.4659323720261454,0.4867216711863875,0.3395510138943791,0.491918995976448,0.0398555553180898,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,q3_securities_held_in_each_financial_service_account__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,hot,10,10,0.4663548665121197,0.3967929515056312,0.7817353704012924,0.984494194854051,0.3387168981134891,1.0351839009672403,0.1928783495924905,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,G2,embedded_containment,primary,hot,10,10,0.4241517977789044,0.4196265363134444,0.4839437082409858,0.4866383224725723,0.3553829155862331,0.4873119760304689,0.0422143192607838,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,q3_securities_held_in_each_financial_service_account__g3__association_references,G3,association_references,primary,hot,10,10,0.4002513014711439,0.3952585393562913,0.4479982599150389,0.4526261182036251,0.3678760258480906,0.4537830827757716,0.0266212960099891,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::hot,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,deep_nested_document,primary,hot,10,10,0.3970766789279878,0.3903054748661816,0.4572156874928623,0.4578471381682902,0.3552789567038417,0.4580050008371472,0.0334132222108831,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
