dataset,query_order,query_name,scale_label,semantic_family,activated_configs,best_observed_config,best_observed_g,activated_best_config,activated_best_g,full_best_p95_ms,activated_best_p95_ms,dsr,top1_preserved,near_best_preserved,relative_regret,status
fiben,6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,sf30,filtered analytical,"G1,G3,G5,G7,G9",q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,G3,418.83483037818223,418.83483037818223,0.5,1,1,0.0,ok
fiben,7,Q7_PersonsWhoBoughtMoreIBMThanSold,sf1,aggregation / transaction,"G2,G3,G4,G5,G6,G7,G9",q7_persons_who_bought_more_ibmthan_sold__g4__deep_nested_path,G4,q7_persons_who_bought_more_ibmthan_sold__g4__deep_nested_path,G4,1.186998502817005,1.186998502817005,0.30000000000000004,1,1,0.0,ok
fiben,7,Q7_PersonsWhoBoughtMoreIBMThanSold,sf10,aggregation / transaction,"G2,G3,G4,G5,G6,G7,G9",q7_persons_who_bought_more_ibmthan_sold__g6__materialized_query_view,G6,q7_persons_who_bought_more_ibmthan_sold__g6__materialized_query_view,G6,0.8576980675570667,0.8576980675570667,0.30000000000000004,1,1,0.0,ok
fiben,7,Q7_PersonsWhoBoughtMoreIBMThanSold,sf30,aggregation / transaction,"G2,G3,G4,G5,G6,G7,G9",q7_persons_who_bought_more_ibmthan_sold__g3__association_references,G3,q7_persons_who_bought_more_ibmthan_sold__g3__association_references,G3,1.322278199950233,1.322278199950233,0.30000000000000004,1,1,0.0,ok
fiben,8,Q8_IBMTransactionsBelowAverageSellingPrice,sf1,aggregation / transaction,"G3,G5,G6,G7,G9",q8_ibmtransactions_below_average_selling_price__g7__update_aware_references,G7,q8_ibmtransactions_below_average_selling_price__g7__update_aware_references,G7,0.8635510283056645,0.8635510283056645,0.5,1,1,0.0,ok
fiben,8,Q8_IBMTransactionsBelowAverageSellingPrice,sf10,aggregation / transaction,"G3,G5,G6,G7,G9",q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,G5,q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,G5,0.9216521284542978,0.9216521284542978,0.5,1,1,0.0,ok
fiben,8,Q8_IBMTransactionsBelowAverageSellingPrice,sf30,aggregation / transaction,"G3,G5,G6,G7,G9",q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,G5,q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,G5,1.2928820273373276,1.2928820273373276,0.5,1,1,0.0,ok
fiben,9,Q9_PersonsWhoBoughtAndSoldSameStock,sf1,transaction overlap,"G2,G3,G4,G5,G7,G9",q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,0.8514764602296054,0.8514764602296054,0.4,1,1,0.0,ok
fiben,9,Q9_PersonsWhoBoughtAndSoldSameStock,sf10,transaction overlap,"G2,G3,G4,G5,G7,G9",q9_persons_who_bought_and_sold_same_stock__g5__shared_targets_as_references,G5,q9_persons_who_bought_and_sold_same_stock__g5__shared_targets_as_references,G5,1.0568699159193784,1.0568699159193784,0.4,1,1,0.0,ok
fiben,9,Q9_PersonsWhoBoughtAndSoldSameStock,sf30,transaction overlap,"G2,G3,G4,G5,G7,G9",q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,q9_persons_who_bought_and_sold_same_stock__g7__update_aware_references,G7,1.2238605471793562,1.2238605471793562,0.4,1,1,0.0,ok
fiben,10,Q10_CreateAccountHoldingAndBuyTransaction,sf1,insert / update,"G2,G3,G4,G5,G7,G9",q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,0.5755637714173645,0.5755637714173645,0.4,1,1,0.0,ok
fiben,10,Q10_CreateAccountHoldingAndBuyTransaction,sf10,insert / update,"G2,G3,G4,G5,G7,G9",q10_create_account_holding_and_buy_transaction__g3__association_references,G3,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,0.4270611854735761,0.4270611854735761,0.4,1,1,0.0,ok
fiben,10,Q10_CreateAccountHoldingAndBuyTransaction,sf30,insert / update,"G2,G3,G4,G5,G7,G9",q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,0.6190445506945252,0.6190445506945252,0.4,1,1,0.0,ok
ldbc_snb,1,IC7_RecentLikers,sf0.1,mixed graph / associative edge,"G0,G3,G4,G6",ldbc_snb_ic7_g4_5de4a081,G4,ldbc_snb_ic7_g4_5de4a081,G4,7.464429102401482,7.464429102401482,0.6,1,1,0.0,ok
ldbc_snb,1,IC7_RecentLikers,sf1,mixed graph / associative edge,"G0,G3,G4,G6",ldbc_snb_ic7_g3_d6d26f02,G3,ldbc_snb_ic7_g3_d6d26f02,G3,7.0093220987473615,7.0093220987473615,0.6,1,1,0.0,ok
ldbc_snb,1,IC7_RecentLikers,sf3,mixed graph / associative edge,"G0,G3,G4,G6",ldbc_snb_ic7_g4_5de4a081,G4,ldbc_snb_ic7_g4_5de4a081,G4,8.036814247316215,8.036814247316215,0.6,1,1,0.0,ok
